,,silo3
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019813,-75195
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019818,-75214
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019823,-75196
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019828,-75209
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019833,-75209
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019838,-75223
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019843,-75228
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019848,-75219
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019853,-75222
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019858,-75250
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019863,-75229
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019868,-75244
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019873,-75243
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019878,-75235
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019883,-75236
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019888,-75232
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019893,-75243
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019898,-75175
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019903,-75253
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019908,-75246
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019913,-75129
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019918,-75258
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019923,-75257
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019928,-75251
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019933,-75240
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019938,-75251
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019943,-75261
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019948,-75277
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019953,-75282
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019958,-75286
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019963,-75295
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019968,-75280
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019973,-75257
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019978,-75273
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019983,-75281
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019988,-75285
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019993,-75300
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019999,-75296
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020004,-75303
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020009,-75313
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020014,-75304
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020018,-75297
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020023,-75318
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020028,-75313
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020033,-75290
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020039,-75259
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020044,-75329
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020048,-75298
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020053,-75185
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020059,-75274
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020063,-75331
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020068,-75159
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020074,-75324
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020078,-75350
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020083,-75328
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020088,-75312
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020093,-75356
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020099,-75293
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020104,-75299
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020108,-75396
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020113,-75252
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020118,-75281
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020123,-75391
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020129,-75141
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020133,-75286
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020139,-75323
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020143,-75225
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020149,-74980
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020153,-75186
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020158,-75028
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020163,-75077
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020168,-75047
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020173,-75074
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020178,-75020
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020184,-75043
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020189,-75014
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020194,-75089
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020198,-75127
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020203,-75109
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020208,-75101
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020213,-75120
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020219,-75107
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020223,-75139
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020229,-74960
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020234,-75098
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020239,-75174
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020243,-75171
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020248,-75209
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020253,-75241
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020258,-75166
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020263,-75097
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020268,-75044
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020273,-74916
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020279,-75103
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020284,-74878
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020288,-75023
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020293,-75142
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020298,-75023
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020304,-75149
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020309,-75170
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020314,-75147
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020319,-75140
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020324,-75192
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020329,-75185
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020333,-75185
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020338,-75181
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020343,-75180
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020348,-75200
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020353,-75212
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020359,-75216
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020364,-75207
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020369,-75217
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020374,-75212
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020379,-75217
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020383,-75213
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020388,-75230
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020393,-75231
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020399,-75227
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020404,-75241
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020409,-75246
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020414,-75247
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020419,-75237
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020424,-75252
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020428,-75250
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020436,-75148
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020439,-75086
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020443,-75324
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020449,-75287
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020454,-75116
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020459,-75267
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020464,-75082
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020469,-75013
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020474,-75201
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020479,-75180
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020484,-75282
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020488,-75245
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020494,-75236
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020499,-75284
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020504,-75198
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020509,-75258
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020514,-75261
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020519,-75254
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020524,-75238
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020529,-75272
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020534,-75268
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020539,-75257
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020544,-75279
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020549,-75020
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020554,-75202
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020559,-75097
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020564,-74993
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020569,-75125
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020573,-75026
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020579,-75044
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020584,-75051
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020589,-75070
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020594,-75039
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020599,-75086
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020604,-75067
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020609,-75073
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020614,-75101
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020619,-75054
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020624,-75074
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020629,-75075
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020634,-75093
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020639,-75044
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020644,-75128
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020649,-75068
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020654,-75090
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020659,-75074
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020664,-75085
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020669,-75057
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020674,-75081
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020679,-75059
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020684,-75009
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020689,-75074
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020694,-75124
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020699,-75128
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020704,-75276
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020709,-75246
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020714,-75240
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020719,-75293
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020724,-75279
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020729,-75299
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020734,-75284
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020739,-75289
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020744,-75308
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020749,-75305
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020754,-75301
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020759,-75281
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020764,-75278
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020769,-75301
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020774,-75311
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020779,-75320
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020784,-75325
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020789,-75322
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020794,-75327
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020799,-75339
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020804,-75337
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020809,-75327
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020814,-75319
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020819,-75356
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020824,-75336
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020829,-75338
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020834,-75324
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020839,-75343
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020844,-75360
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020849,-75370
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020854,-75365
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020859,-75359
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020864,-75346
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020869,-75377
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020874,-75362
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020879,-75371
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020884,-75377
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020889,-75369
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020894,-75384
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020899,-75378
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020904,-75387
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020909,-75381
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020914,-75285
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020919,-75380
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020924,-75402
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020929,-75264
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020934,-75388
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020939,-75425
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020944,-75432
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020949,-75405
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020954,-75407
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020964,-75428
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020965,-75416
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020969,-75421
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020974,-75437
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020979,-75442
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020984,-75450
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020989,-75450
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020994,-75460
c9da44b8-4771-11ea-9d18-26361acb5d98,1583020999,-75467
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021004,-75481
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021009,-67923
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021014,-75464
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021019,-75487
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021024,-75456
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021029,-75469
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021034,-75479
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021039,-75476
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021044,-75487
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021049,-75486
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021054,-75465
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021059,-75478
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021064,-75503
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021069,-75474
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021074,-75391
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021079,-75454
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021084,-75481
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021089,-75397
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021094,-75494
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021099,-75502
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021104,-75502
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021109,-75514
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021114,-75495
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021119,-75511
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021124,-75510
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021129,-75520
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021134,-75508
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021139,-75511
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021144,-75498
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021149,-75524
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021154,-75544
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021159,-75533
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021164,-75525
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021169,-75532
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021174,-75530
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021179,-75518
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021184,-75528
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021189,-75523
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021194,-75535
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021199,-75527
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021204,-75552
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021209,-75525
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021214,-75544
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021219,-75547
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021224,-75533
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021229,-75543
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021234,-75558
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021239,-75552
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021244,-75584
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021249,-75573
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021254,-75575
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021259,-75572
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021264,-75582
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021269,-75581
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021274,-75566
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021279,-75568
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021284,-75592
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021289,-75516
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021294,-75574
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021299,-75583
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021304,-75453
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021309,-75596
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021314,-75601
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021319,-75587
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021324,-75598
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021329,-75597
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021334,-75591
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021339,-75604
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021344,-75591
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021349,-75602
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021354,-75605
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021359,-75611
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021364,-75588
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021369,-75629
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021374,-75615
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021379,-75633
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021384,-75643
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021389,-75630
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021394,-75599
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021399,-75628
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021404,-75619
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021409,-75612
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021414,-75622
c9da44b8-4771-11ea-9d18-26361acb5d98,1583021419,-75635
